block_group,gender_work_age,count_gender_work_age
480291805031,sex_work_age_tot_m,279.0
480291805032,sex_work_age_tot_m,553.0
480291704013,sex_work_age_tot_m,327.0
480291704012,sex_work_age_tot_m,123.0
480291914061,sex_work_age_tot_m,701.0
480291914092,sex_work_age_tot_m,1167.0
480291212042,sex_work_age_tot_m,662.0
480291215081,sex_work_age_tot_m,485.0
480291914051,sex_work_age_tot_m,911.0
480291914052,sex_work_age_tot_m,669.0
480291914053,sex_work_age_tot_m,340.0
480291914055,sex_work_age_tot_m,231.0
480291709001,sex_work_age_tot_m,306.0
480291709003,sex_work_age_tot_m,184.0
480291610002,sex_work_age_tot_m,515.0
480291610001,sex_work_age_tot_m,580.0
480291615015,sex_work_age_tot_m,474.0
480291615011,sex_work_age_tot_m,998.0
480291615013,sex_work_age_tot_m,382.0
480291711001,sex_work_age_tot_m,735.0
480291620011,sex_work_age_tot_m,564.0
480291701022,sex_work_age_tot_m,346.0
480291701021,sex_work_age_tot_m,278.0
480291807022,sex_work_age_tot_m,456.0
480291807023,sex_work_age_tot_m,187.0
480291807025,sex_work_age_tot_m,164.0
480291809012,sex_work_age_tot_m,388.0
480291809015,sex_work_age_tot_m,223.0
480291106003,sex_work_age_tot_m,2567.0
480291108002,sex_work_age_tot_m,178.0
480291108001,sex_work_age_tot_m,311.0
480291208004,sex_work_age_tot_m,278.0
480291208006,sex_work_age_tot_m,238.0
480291208001,sex_work_age_tot_m,309.0
480291208002,sex_work_age_tot_m,233.0
480291208005,sex_work_age_tot_m,205.0
480291208007,sex_work_age_tot_m,237.0
480291208003,sex_work_age_tot_m,394.0
480291211113,sex_work_age_tot_m,402.0
480291211111,sex_work_age_tot_m,247.0
480291211112,sex_work_age_tot_m,550.0
480291211114,sex_work_age_tot_m,679.0
480291211161,sex_work_age_tot_m,737.0
480291211164,sex_work_age_tot_m,366.0
480291211162,sex_work_age_tot_m,78.0
480291211181,sex_work_age_tot_m,579.0
480291211182,sex_work_age_tot_m,980.0
480291212031,sex_work_age_tot_m,235.0
480291212032,sex_work_age_tot_m,496.0
480291212051,sex_work_age_tot_m,1033.0
480291817182,sex_work_age_tot_m,614.0
480291818111,sex_work_age_tot_m,1070.0
480291902003,sex_work_age_tot_m,227.0
480291902004,sex_work_age_tot_m,316.0
480291902001,sex_work_age_tot_m,172.0
480291802021,sex_work_age_tot_m,254.0
480291802023,sex_work_age_tot_m,491.0
480291805013,sex_work_age_tot_m,325.0
480291805012,sex_work_age_tot_m,177.0
480291805011,sex_work_age_tot_m,780.0
480291808002,sex_work_age_tot_m,498.0
480291808001,sex_work_age_tot_m,235.0
480291708002,sex_work_age_tot_m,220.0
480291106002,sex_work_age_tot_m,281.0
480291504001,sex_work_age_tot_m,162.0
480291504002,sex_work_age_tot_m,421.0
480291510001,sex_work_age_tot_m,458.0
480291521002,sex_work_age_tot_m,348.0
480291521001,sex_work_age_tot_m,340.0
480291607024,sex_work_age_tot_m,276.0
480291607023,sex_work_age_tot_m,415.0
480291616002,sex_work_age_tot_m,892.0
480291616001,sex_work_age_tot_m,479.0
480291216012,sex_work_age_tot_m,416.0
480291216013,sex_work_age_tot_m,546.0
480291216014,sex_work_age_tot_m,378.0
480291218021,sex_work_age_tot_m,669.0
480291218023,sex_work_age_tot_m,1028.0
480291303002,sex_work_age_tot_m,310.0
480291303001,sex_work_age_tot_m,232.0
480291307002,sex_work_age_tot_m,278.0
480291307001,sex_work_age_tot_m,318.0
480291702004,sex_work_age_tot_m,298.0
480291702006,sex_work_age_tot_m,341.0
480291702002,sex_work_age_tot_m,280.0
480291702005,sex_work_age_tot_m,231.0
480291702001,sex_work_age_tot_m,297.0
480291316011,sex_work_age_tot_m,258.0
480291317001,sex_work_age_tot_m,319.0
480291412004,sex_work_age_tot_m,187.0
480291412001,sex_work_age_tot_m,430.0
480291412005,sex_work_age_tot_m,318.0
480291412002,sex_work_age_tot_m,423.0
480291501003,sex_work_age_tot_m,327.0
480291309002,sex_work_age_tot_m,326.0
480291309003,sex_work_age_tot_m,243.0
480291310003,sex_work_age_tot_m,188.0
480291310004,sex_work_age_tot_m,191.0
480291310001,sex_work_age_tot_m,756.0
480291310002,sex_work_age_tot_m,158.0
480291405003,sex_work_age_tot_m,473.0
480291405002,sex_work_age_tot_m,392.0
480291405001,sex_work_age_tot_m,239.0
480291405004,sex_work_age_tot_m,177.0
480291406002,sex_work_age_tot_m,259.0
480291406001,sex_work_age_tot_m,590.0
480291407003,sex_work_age_tot_m,241.0
480291407001,sex_work_age_tot_m,329.0
480291407004,sex_work_age_tot_m,226.0
480291407005,sex_work_age_tot_m,458.0
480291413001,sex_work_age_tot_m,248.0
480291413003,sex_work_age_tot_m,929.0
480291702003,sex_work_age_tot_m,158.0
480291806023,sex_work_age_tot_m,193.0
480291806021,sex_work_age_tot_m,304.0
480291911021,sex_work_age_tot_m,115.0
480291911022,sex_work_age_tot_m,262.0
480291911023,sex_work_age_tot_m,232.0
480291209012,sex_work_age_tot_m,598.0
480291209011,sex_work_age_tot_m,278.0
480291211122,sex_work_age_tot_m,458.0
480291519001,sex_work_age_tot_m,532.0
480291409002,sex_work_age_tot_m,367.0
480291417001,sex_work_age_tot_m,796.0
480291417002,sex_work_age_tot_m,992.0
480291505012,sex_work_age_tot_m,367.0
480291505014,sex_work_age_tot_m,391.0
480291604002,sex_work_age_tot_m,641.0
480291604004,sex_work_age_tot_m,185.0
480291604001,sex_work_age_tot_m,342.0
480291604003,sex_work_age_tot_m,305.0
480291611005,sex_work_age_tot_m,721.0
480291611006,sex_work_age_tot_m,178.0
480291611001,sex_work_age_tot_m,937.0
480291611004,sex_work_age_tot_m,625.0
480291611003,sex_work_age_tot_m,392.0
480291611002,sex_work_age_tot_m,193.0
480291813012,sex_work_age_tot_m,567.0
480291813011,sex_work_age_tot_m,880.0
480291814021,sex_work_age_tot_m,321.0
480291814022,sex_work_age_tot_m,574.0
480291109001,sex_work_age_tot_m,841.0
480291110003,sex_work_age_tot_m,466.0
480291110002,sex_work_age_tot_m,235.0
480291204001,sex_work_age_tot_m,457.0
480291204005,sex_work_age_tot_m,247.0
480291710004,sex_work_age_tot_m,580.0
480291204003,sex_work_age_tot_m,242.0
480291207021,sex_work_age_tot_m,756.0
480291704014,sex_work_age_tot_m,258.0
480291710001,sex_work_age_tot_m,322.0
480291710002,sex_work_age_tot_m,225.0
480291717001,sex_work_age_tot_m,513.0
480291717003,sex_work_age_tot_m,344.0
480291215013,sex_work_age_tot_m,919.0
480291215011,sex_work_age_tot_m,803.0
480291215074,sex_work_age_tot_m,435.0
480291215071,sex_work_age_tot_m,157.0
480291215072,sex_work_age_tot_m,323.0
480291312002,sex_work_age_tot_m,356.0
480291401002,sex_work_age_tot_m,238.0
480291401001,sex_work_age_tot_m,302.0
480291404004,sex_work_age_tot_m,156.0
480291101002,sex_work_age_tot_m,213.0
480291209022,sex_work_age_tot_m,415.0
480291209021,sex_work_age_tot_m,951.0
480291214033,sex_work_age_tot_m,757.0
480291214031,sex_work_age_tot_m,511.0
480291216042,sex_work_age_tot_m,312.0
480291216043,sex_work_age_tot_m,294.0
480291306004,sex_work_age_tot_m,305.0
480291207022,sex_work_age_tot_m,44.0
480291213003,sex_work_age_tot_m,246.0
480291213001,sex_work_age_tot_m,880.0
480291703004,sex_work_age_tot_m,182.0
480291703002,sex_work_age_tot_m,128.0
480291703006,sex_work_age_tot_m,272.0
480291703005,sex_work_age_tot_m,685.0
480291703003,sex_work_age_tot_m,186.0
480291704024,sex_work_age_tot_m,225.0
480291704021,sex_work_age_tot_m,546.0
480291706001,sex_work_age_tot_m,413.0
480291706004,sex_work_age_tot_m,317.0
480291706003,sex_work_age_tot_m,400.0
480291707003,sex_work_age_tot_m,870.0
480291707002,sex_work_age_tot_m,268.0
480291212044,sex_work_age_tot_m,342.0
480291212043,sex_work_age_tot_m,209.0
480291404001,sex_work_age_tot_m,310.0
480291404002,sex_work_age_tot_m,404.0
480291504003,sex_work_age_tot_m,853.0
480291215052,sex_work_age_tot_m,242.0
480291403002,sex_work_age_tot_m,338.0
480291403003,sex_work_age_tot_m,329.0
480291520001,sex_work_age_tot_m,1031.0
480291701011,sex_work_age_tot_m,239.0
480291701012,sex_work_age_tot_m,511.0
480291718022,sex_work_age_tot_m,396.0
480291718025,sex_work_age_tot_m,257.0
480291718023,sex_work_age_tot_m,533.0
480291408004,sex_work_age_tot_m,234.0
480291408001,sex_work_age_tot_m,477.0
480291408005,sex_work_age_tot_m,637.0
480291408003,sex_work_age_tot_m,103.0
480291408002,sex_work_age_tot_m,505.0
480291505023,sex_work_age_tot_m,320.0
480291505022,sex_work_age_tot_m,492.0
480291505021,sex_work_age_tot_m,439.0
480291507006,sex_work_age_tot_m,84.0
480291507001,sex_work_age_tot_m,320.0
480291507003,sex_work_age_tot_m,515.0
480291601004,sex_work_age_tot_m,709.0
480291601003,sex_work_age_tot_m,467.0
480291601001,sex_work_age_tot_m,389.0
480291813023,sex_work_age_tot_m,644.0
480291809021,sex_work_age_tot_m,344.0
480291809023,sex_work_age_tot_m,453.0
480291809022,sex_work_age_tot_m,159.0
480291809025,sex_work_age_tot_m,470.0
480291810031,sex_work_age_tot_m,713.0
480291810051,sex_work_age_tot_m,806.0
480291810052,sex_work_age_tot_m,189.0
480291815061,sex_work_age_tot_m,139.0
480291815062,sex_work_age_tot_m,400.0
480291817151,sex_work_age_tot_m,407.0
480291203002,sex_work_age_tot_m,162.0
480291203003,sex_work_age_tot_m,376.0
480291203005,sex_work_age_tot_m,293.0
480291205013,sex_work_age_tot_m,335.0
480291205015,sex_work_age_tot_m,383.0
480291205012,sex_work_age_tot_m,570.0
480291205014,sex_work_age_tot_m,528.0
480291211152,sex_work_age_tot_m,755.0
480291211153,sex_work_age_tot_m,551.0
480291211172,sex_work_age_tot_m,461.0
480291211171,sex_work_age_tot_m,570.0
480291720021,sex_work_age_tot_m,1653.0
480291817031,sex_work_age_tot_m,1216.0
480291817032,sex_work_age_tot_m,637.0
480291803003,sex_work_age_tot_m,495.0
480291803001,sex_work_age_tot_m,342.0
480291803002,sex_work_age_tot_m,422.0
480291817161,sex_work_age_tot_m,1435.0
480291910034,sex_work_age_tot_m,276.0
480291910035,sex_work_age_tot_m,220.0
480291910033,sex_work_age_tot_m,375.0
480291910031,sex_work_age_tot_m,414.0
480291910032,sex_work_age_tot_m,1778.0
480291214041,sex_work_age_tot_m,664.0
480291214042,sex_work_age_tot_m,332.0
480291214043,sex_work_age_tot_m,393.0
480291313001,sex_work_age_tot_m,459.0
480291313004,sex_work_age_tot_m,147.0
480291316061,sex_work_age_tot_m,726.0
480291103003,sex_work_age_tot_m,137.0
480291103002,sex_work_age_tot_m,382.0
480291201001,sex_work_age_tot_m,1612.0
480291206002,sex_work_age_tot_m,328.0
480291206003,sex_work_age_tot_m,276.0
480291206006,sex_work_age_tot_m,160.0
480291206005,sex_work_age_tot_m,413.0
480291517003,sex_work_age_tot_m,328.0
480291517002,sex_work_age_tot_m,531.0
480291517001,sex_work_age_tot_m,575.0
480291607013,sex_work_age_tot_m,300.0
480291306001,sex_work_age_tot_m,210.0
480291306003,sex_work_age_tot_m,455.0
480291306002,sex_work_age_tot_m,162.0
480291402003,sex_work_age_tot_m,239.0
480291402002,sex_work_age_tot_m,280.0
480291402001,sex_work_age_tot_m,186.0
480291402004,sex_work_age_tot_m,311.0
480291309001,sex_work_age_tot_m,624.0
480291717004,sex_work_age_tot_m,713.0
480291719035,sex_work_age_tot_m,580.0
480291717006,sex_work_age_tot_m,313.0
480291719032,sex_work_age_tot_m,239.0
480291719034,sex_work_age_tot_m,185.0
480291509002,sex_work_age_tot_m,217.0
480291509001,sex_work_age_tot_m,392.0
480291509005,sex_work_age_tot_m,497.0
480291705003,sex_work_age_tot_m,276.0
480291705004,sex_work_age_tot_m,335.0
480291705002,sex_work_age_tot_m,525.0
480291805042,sex_work_age_tot_m,871.0
480291205025,sex_work_age_tot_m,194.0
480291205023,sex_work_age_tot_m,138.0
480291205026,sex_work_age_tot_m,227.0
480291205024,sex_work_age_tot_m,283.0
480291207012,sex_work_age_tot_m,320.0
480291207011,sex_work_age_tot_m,274.0
480291302002,sex_work_age_tot_m,217.0
480291410003,sex_work_age_tot_m,416.0
480291410002,sex_work_age_tot_m,517.0
480291516001,sex_work_age_tot_m,1129.0
480291516004,sex_work_age_tot_m,331.0
480291516002,sex_work_age_tot_m,356.0
480291817051,sex_work_age_tot_m,560.0
480291817052,sex_work_age_tot_m,517.0
480291512002,sex_work_age_tot_m,944.0
480291606001,sex_work_age_tot_m,536.0
480291606003,sex_work_age_tot_m,526.0
480291419003,sex_work_age_tot_m,515.0
480291419002,sex_work_age_tot_m,671.0
480291515003,sex_work_age_tot_m,380.0
480291515002,sex_work_age_tot_m,342.0
480291603003,sex_work_age_tot_m,148.0
480291603002,sex_work_age_tot_m,339.0
480291603005,sex_work_age_tot_m,512.0
480291612001,sex_work_age_tot_m,308.0
480291612002,sex_work_age_tot_m,468.0
480291804003,sex_work_age_tot_m,236.0
480291804001,sex_work_age_tot_m,619.0
480291807012,sex_work_age_tot_m,1002.0
480291811004,sex_work_age_tot_m,329.0
480291811002,sex_work_age_tot_m,254.0
480291811003,sex_work_age_tot_m,637.0
480291909015,sex_work_age_tot_m,550.0
480291909013,sex_work_age_tot_m,72.0
480291809014,sex_work_age_tot_m,422.0
480291813031,sex_work_age_tot_m,653.0
480291815041,sex_work_age_tot_m,437.0
480291815042,sex_work_age_tot_m,1119.0
480291816012,sex_work_age_tot_m,763.0
480291906011,sex_work_age_tot_m,600.0
480291818091,sex_work_age_tot_m,436.0
480291818092,sex_work_age_tot_m,758.0
480291818094,sex_work_age_tot_m,430.0
480291906013,sex_work_age_tot_m,404.0
480291910041,sex_work_age_tot_m,385.0
480291910043,sex_work_age_tot_m,283.0
480291813022,sex_work_age_tot_m,809.0
480291212063,sex_work_age_tot_m,210.0
480291212061,sex_work_age_tot_m,380.0
480291212065,sex_work_age_tot_m,594.0
480291212062,sex_work_age_tot_m,380.0
480291214022,sex_work_age_tot_m,424.0
480291214021,sex_work_age_tot_m,2022.0
480291218031,sex_work_age_tot_m,474.0
480291218032,sex_work_age_tot_m,190.0
480291218033,sex_work_age_tot_m,517.0
480291218041,sex_work_age_tot_m,684.0
480291218042,sex_work_age_tot_m,973.0
480291218043,sex_work_age_tot_m,532.0
480291308001,sex_work_age_tot_m,588.0
480291308004,sex_work_age_tot_m,481.0
480291308002,sex_work_age_tot_m,179.0
480291308003,sex_work_age_tot_m,179.0
480291311003,sex_work_age_tot_m,268.0
480291311002,sex_work_age_tot_m,271.0
480291602002,sex_work_age_tot_m,247.0
480291817134,sex_work_age_tot_m,640.0
480291817132,sex_work_age_tot_m,611.0
480291817133,sex_work_age_tot_m,672.0
480291815054,sex_work_age_tot_m,309.0
480291815053,sex_work_age_tot_m,363.0
480291815051,sex_work_age_tot_m,261.0
480291817042,sex_work_age_tot_m,355.0
480291817044,sex_work_age_tot_m,242.0
480291817111,sex_work_age_tot_m,953.0
480291907002,sex_work_age_tot_m,382.0
480291907003,sex_work_age_tot_m,445.0
480291607011,sex_work_age_tot_m,497.0
480291607012,sex_work_age_tot_m,278.0
480291718011,sex_work_age_tot_m,443.0
480291718013,sex_work_age_tot_m,411.0
480291718014,sex_work_age_tot_m,334.0
480291718012,sex_work_age_tot_m,546.0
480291802013,sex_work_age_tot_m,845.0
480291802012,sex_work_age_tot_m,260.0
480291802014,sex_work_age_tot_m,518.0
480291802011,sex_work_age_tot_m,196.0
480291812001,sex_work_age_tot_m,127.0
480291812004,sex_work_age_tot_m,658.0
480291812002,sex_work_age_tot_m,245.0
480291812005,sex_work_age_tot_m,259.0
480291514004,sex_work_age_tot_m,329.0
480291511003,sex_work_age_tot_m,183.0
480291511001,sex_work_age_tot_m,430.0
480291514001,sex_work_age_tot_m,428.0
480291514002,sex_work_age_tot_m,463.0
480291905012,sex_work_age_tot_m,554.0
480291905013,sex_work_age_tot_m,236.0
480291905011,sex_work_age_tot_m,262.0
480291908001,sex_work_age_tot_m,270.0
480291908002,sex_work_age_tot_m,331.0
480291909011,sex_work_age_tot_m,330.0
480291909012,sex_work_age_tot_m,709.0
480291909021,sex_work_age_tot_m,542.0
480291909023,sex_work_age_tot_m,320.0
480291810012,sex_work_age_tot_m,498.0
480291810042,sex_work_age_tot_m,1254.0
480291810041,sex_work_age_tot_m,793.0
480291901004,sex_work_age_tot_m,439.0
480291901003,sex_work_age_tot_m,259.0
480291901002,sex_work_age_tot_m,336.0
480291719021,sex_work_age_tot_m,736.0
480291311001,sex_work_age_tot_m,119.0
480291203008,sex_work_age_tot_m,226.0
480291203007,sex_work_age_tot_m,131.0
480291501001,sex_work_age_tot_m,739.0
480291501004,sex_work_age_tot_m,439.0
480291506004,sex_work_age_tot_m,299.0
480291506003,sex_work_age_tot_m,316.0
480291511007,sex_work_age_tot_m,584.0
480291511005,sex_work_age_tot_m,201.0
480291511004,sex_work_age_tot_m,446.0
480291918042,sex_work_age_tot_m,849.0
480291918041,sex_work_age_tot_m,558.0
480291210004,sex_work_age_tot_m,377.0
480291210003,sex_work_age_tot_m,745.0
480291210005,sex_work_age_tot_m,319.0
480291210006,sex_work_age_tot_m,589.0
480291211102,sex_work_age_tot_m,440.0
480291215062,sex_work_age_tot_m,417.0
480291215061,sex_work_age_tot_m,263.0
480291305001,sex_work_age_tot_m,177.0
480291305003,sex_work_age_tot_m,633.0
480291305002,sex_work_age_tot_m,286.0
480291305004,sex_work_age_tot_m,231.0
480291904003,sex_work_age_tot_m,272.0
480291211081,sex_work_age_tot_m,261.0
480291211083,sex_work_age_tot_m,777.0
480291211084,sex_work_age_tot_m,365.0
480291207015,sex_work_age_tot_m,408.0
480291215042,sex_work_age_tot_m,145.0
480291215041,sex_work_age_tot_m,352.0
480291503001,sex_work_age_tot_m,269.0
480291503004,sex_work_age_tot_m,614.0
480291503003,sex_work_age_tot_m,230.0
480291602003,sex_work_age_tot_m,318.0
480291508002,sex_work_age_tot_m,149.0
480291508003,sex_work_age_tot_m,143.0
480291712003,sex_work_age_tot_m,408.0
480291418001,sex_work_age_tot_m,319.0
480291418002,sex_work_age_tot_m,163.0
480291512005,sex_work_age_tot_m,1418.0
480291512003,sex_work_age_tot_m,166.0
480291512001,sex_work_age_tot_m,382.0
480291107001,sex_work_age_tot_m,323.0
480291904001,sex_work_age_tot_m,185.0
480291719121,sex_work_age_tot_m,1621.0
480291817122,sex_work_age_tot_m,495.0
480291816023,sex_work_age_tot_m,390.0
480291816021,sex_work_age_tot_m,302.0
480291818081,sex_work_age_tot_m,425.0
480291821021,sex_work_age_tot_m,568.0
480291911011,sex_work_age_tot_m,224.0
480291911012,sex_work_age_tot_m,272.0
480291219082,sex_work_age_tot_m,538.0
480291219091,sex_work_age_tot_m,1281.0
480291219092,sex_work_age_tot_m,1322.0
480291219101,sex_work_age_tot_m,1639.0
480291219102,sex_work_age_tot_m,258.0
480291304011,sex_work_age_tot_m,375.0
480291304012,sex_work_age_tot_m,388.0
480291304013,sex_work_age_tot_m,351.0
480291304014,sex_work_age_tot_m,315.0
480291304021,sex_work_age_tot_m,261.0
480291304022,sex_work_age_tot_m,295.0
480291304023,sex_work_age_tot_m,498.0
480291314011,sex_work_age_tot_m,2049.0
480291314012,sex_work_age_tot_m,1092.0
480291314021,sex_work_age_tot_m,198.0
480291719182,sex_work_age_tot_m,317.0
480291719184,sex_work_age_tot_m,646.0
480291719191,sex_work_age_tot_m,1336.0
480291719202,sex_work_age_tot_m,1544.0
480291719211,sex_work_age_tot_m,825.0
480291719213,sex_work_age_tot_m,327.0
480291719221,sex_work_age_tot_m,1143.0
480291719232,sex_work_age_tot_m,391.0
480291719233,sex_work_age_tot_m,926.0
480291719241,sex_work_age_tot_m,1696.0
480291720022,sex_work_age_tot_m,1752.0
480291719242,sex_work_age_tot_m,658.0
480291719252,sex_work_age_tot_m,756.0
480291719254,sex_work_age_tot_m,924.0
480291720031,sex_work_age_tot_m,932.0
480291720032,sex_work_age_tot_m,777.0
480291720051,sex_work_age_tot_m,1242.0
480291720052,sex_work_age_tot_m,2168.0
480291720062,sex_work_age_tot_m,570.0
480291720063,sex_work_age_tot_m,524.0
480291720072,sex_work_age_tot_m,665.0
480291720073,sex_work_age_tot_m,1339.0
480291801012,sex_work_age_tot_m,304.0
480291315031,sex_work_age_tot_m,302.0
480291315032,sex_work_age_tot_m,232.0
480291315041,sex_work_age_tot_m,225.0
480291315042,sex_work_age_tot_m,274.0
480291315051,sex_work_age_tot_m,616.0
480291315052,sex_work_age_tot_m,772.0
480291315062,sex_work_age_tot_m,785.0
480291316081,sex_work_age_tot_m,649.0
480291315071,sex_work_age_tot_m,939.0
480291315073,sex_work_age_tot_m,676.0
480291316012,sex_work_age_tot_m,957.0
480291316082,sex_work_age_tot_m,995.0
480291316092,sex_work_age_tot_m,628.0
480291316093,sex_work_age_tot_m,934.0
480291316102,sex_work_age_tot_m,594.0
480291316111,sex_work_age_tot_m,323.0
480291316131,sex_work_age_tot_m,372.0
480291316132,sex_work_age_tot_m,920.0
480291316142,sex_work_age_tot_m,153.0
480291316151,sex_work_age_tot_m,996.0
480291316153,sex_work_age_tot_m,668.0
480291316154,sex_work_age_tot_m,364.0
480291318012,sex_work_age_tot_m,214.0
480291318021,sex_work_age_tot_m,642.0
480291318023,sex_work_age_tot_m,623.0
480291411011,sex_work_age_tot_m,517.0
480291411013,sex_work_age_tot_m,383.0
480291411021,sex_work_age_tot_m,325.0
480291411023,sex_work_age_tot_m,482.0
480291414022,sex_work_age_tot_m,608.0
480291414032,sex_work_age_tot_m,919.0
480291414041,sex_work_age_tot_m,832.0
480291414043,sex_work_age_tot_m,292.0
480291416002,sex_work_age_tot_m,623.0
480291513011,sex_work_age_tot_m,289.0
480291513012,sex_work_age_tot_m,246.0
480291513013,sex_work_age_tot_m,347.0
480291513014,sex_work_age_tot_m,884.0
480291513021,sex_work_age_tot_m,523.0
480291513022,sex_work_age_tot_m,552.0
480291521003,sex_work_age_tot_m,321.0
480291521004,sex_work_age_tot_m,759.0
480291522011,sex_work_age_tot_m,1009.0
480291522012,sex_work_age_tot_m,646.0
480291522013,sex_work_age_tot_m,525.0
480291522021,sex_work_age_tot_m,1215.0
480291605011,sex_work_age_tot_m,524.0
480291605012,sex_work_age_tot_m,336.0
480291605021,sex_work_age_tot_m,116.0
480291609013,sex_work_age_tot_m,396.0
480291605022,sex_work_age_tot_m,214.0
480291605024,sex_work_age_tot_m,437.0
480291609011,sex_work_age_tot_m,255.0
480291609021,sex_work_age_tot_m,647.0
