block_group,gender_not_work_age,count_gender_not_work_age
480291805031,sex_not_work_age_tot_m,138.0
480291805032,sex_not_work_age_tot_m,253.0
480291704013,sex_not_work_age_tot_m,336.0
480291704012,sex_not_work_age_tot_m,261.0
480291914061,sex_not_work_age_tot_m,528.0
480291914092,sex_not_work_age_tot_m,398.0
480291212042,sex_not_work_age_tot_m,198.0
480291215081,sex_not_work_age_tot_m,258.0
480291914051,sex_not_work_age_tot_m,540.0
480291914052,sex_not_work_age_tot_m,362.0
480291914053,sex_not_work_age_tot_m,431.0
480291914055,sex_not_work_age_tot_m,183.0
480291709001,sex_not_work_age_tot_m,327.0
480291709003,sex_not_work_age_tot_m,49.0
480291610002,sex_not_work_age_tot_m,435.0
480291610001,sex_not_work_age_tot_m,399.0
480291615015,sex_not_work_age_tot_m,531.0
480291615011,sex_not_work_age_tot_m,543.0
480291615013,sex_not_work_age_tot_m,277.0
480291711001,sex_not_work_age_tot_m,315.0
480291620011,sex_not_work_age_tot_m,517.0
480291701022,sex_not_work_age_tot_m,192.0
480291701021,sex_not_work_age_tot_m,68.0
480291807022,sex_not_work_age_tot_m,142.0
480291807023,sex_not_work_age_tot_m,35.0
480291807025,sex_not_work_age_tot_m,130.0
480291809012,sex_not_work_age_tot_m,200.0
480291809015,sex_not_work_age_tot_m,144.0
480291106003,sex_not_work_age_tot_m,190.0
480291108002,sex_not_work_age_tot_m,130.0
480291108001,sex_not_work_age_tot_m,99.0
480291208004,sex_not_work_age_tot_m,189.0
480291208006,sex_not_work_age_tot_m,158.0
480291208001,sex_not_work_age_tot_m,141.0
480291208002,sex_not_work_age_tot_m,305.0
480291208005,sex_not_work_age_tot_m,108.0
480291208007,sex_not_work_age_tot_m,208.0
480291208003,sex_not_work_age_tot_m,233.0
480291211113,sex_not_work_age_tot_m,393.0
480291211111,sex_not_work_age_tot_m,252.0
480291211112,sex_not_work_age_tot_m,535.0
480291211114,sex_not_work_age_tot_m,522.0
480291211161,sex_not_work_age_tot_m,309.0
480291211164,sex_not_work_age_tot_m,335.0
480291211162,sex_not_work_age_tot_m,132.0
480291211181,sex_not_work_age_tot_m,292.0
480291211182,sex_not_work_age_tot_m,200.0
480291212031,sex_not_work_age_tot_m,114.0
480291212032,sex_not_work_age_tot_m,296.0
480291212051,sex_not_work_age_tot_m,497.0
480291817182,sex_not_work_age_tot_m,383.0
480291818111,sex_not_work_age_tot_m,640.0
480291902003,sex_not_work_age_tot_m,90.0
480291902004,sex_not_work_age_tot_m,154.0
480291902001,sex_not_work_age_tot_m,108.0
480291802021,sex_not_work_age_tot_m,236.0
480291802023,sex_not_work_age_tot_m,351.0
480291805013,sex_not_work_age_tot_m,252.0
480291805012,sex_not_work_age_tot_m,79.0
480291805011,sex_not_work_age_tot_m,224.0
480291808002,sex_not_work_age_tot_m,196.0
480291808001,sex_not_work_age_tot_m,145.0
480291708002,sex_not_work_age_tot_m,145.0
480291106002,sex_not_work_age_tot_m,322.0
480291504001,sex_not_work_age_tot_m,28.0
480291504002,sex_not_work_age_tot_m,168.0
480291510001,sex_not_work_age_tot_m,256.0
480291521002,sex_not_work_age_tot_m,242.0
480291521001,sex_not_work_age_tot_m,215.0
480291607024,sex_not_work_age_tot_m,149.0
480291607023,sex_not_work_age_tot_m,131.0
480291616002,sex_not_work_age_tot_m,487.0
480291616001,sex_not_work_age_tot_m,451.0
480291216012,sex_not_work_age_tot_m,217.0
480291216013,sex_not_work_age_tot_m,386.0
480291216014,sex_not_work_age_tot_m,149.0
480291218021,sex_not_work_age_tot_m,318.0
480291218023,sex_not_work_age_tot_m,469.0
480291303002,sex_not_work_age_tot_m,124.0
480291303001,sex_not_work_age_tot_m,64.0
480291307002,sex_not_work_age_tot_m,150.0
480291307001,sex_not_work_age_tot_m,422.0
480291702004,sex_not_work_age_tot_m,174.0
480291702006,sex_not_work_age_tot_m,264.0
480291702002,sex_not_work_age_tot_m,54.0
480291702005,sex_not_work_age_tot_m,218.0
480291702001,sex_not_work_age_tot_m,146.0
480291316011,sex_not_work_age_tot_m,170.0
480291317001,sex_not_work_age_tot_m,326.0
480291412004,sex_not_work_age_tot_m,98.0
480291412001,sex_not_work_age_tot_m,526.0
480291412005,sex_not_work_age_tot_m,213.0
480291412002,sex_not_work_age_tot_m,287.0
480291501003,sex_not_work_age_tot_m,249.0
480291309002,sex_not_work_age_tot_m,259.0
480291309003,sex_not_work_age_tot_m,244.0
480291310003,sex_not_work_age_tot_m,179.0
480291310004,sex_not_work_age_tot_m,174.0
480291310001,sex_not_work_age_tot_m,576.0
480291310002,sex_not_work_age_tot_m,146.0
480291405003,sex_not_work_age_tot_m,155.0
480291405002,sex_not_work_age_tot_m,248.0
480291405001,sex_not_work_age_tot_m,83.0
480291405004,sex_not_work_age_tot_m,120.0
480291406002,sex_not_work_age_tot_m,125.0
480291406001,sex_not_work_age_tot_m,373.0
480291407003,sex_not_work_age_tot_m,185.0
480291407001,sex_not_work_age_tot_m,189.0
480291407004,sex_not_work_age_tot_m,85.0
480291407005,sex_not_work_age_tot_m,204.0
480291413001,sex_not_work_age_tot_m,134.0
480291413003,sex_not_work_age_tot_m,678.0
480291702003,sex_not_work_age_tot_m,374.0
480291806023,sex_not_work_age_tot_m,183.0
480291806021,sex_not_work_age_tot_m,20.0
480291911021,sex_not_work_age_tot_m,162.0
480291911022,sex_not_work_age_tot_m,118.0
480291911023,sex_not_work_age_tot_m,253.0
480291209012,sex_not_work_age_tot_m,315.0
480291209011,sex_not_work_age_tot_m,214.0
480291211122,sex_not_work_age_tot_m,191.0
480291519001,sex_not_work_age_tot_m,391.0
480291409002,sex_not_work_age_tot_m,147.0
480291417001,sex_not_work_age_tot_m,442.0
480291417002,sex_not_work_age_tot_m,595.0
480291505012,sex_not_work_age_tot_m,318.0
480291505014,sex_not_work_age_tot_m,194.0
480291604002,sex_not_work_age_tot_m,392.0
480291604004,sex_not_work_age_tot_m,180.0
480291604001,sex_not_work_age_tot_m,142.0
480291604003,sex_not_work_age_tot_m,172.0
480291611005,sex_not_work_age_tot_m,310.0
480291611006,sex_not_work_age_tot_m,30.0
480291611001,sex_not_work_age_tot_m,675.0
480291611004,sex_not_work_age_tot_m,207.0
480291611003,sex_not_work_age_tot_m,234.0
480291611002,sex_not_work_age_tot_m,171.0
480291813012,sex_not_work_age_tot_m,271.0
480291813011,sex_not_work_age_tot_m,576.0
480291814021,sex_not_work_age_tot_m,227.0
480291814022,sex_not_work_age_tot_m,220.0
480291109001,sex_not_work_age_tot_m,118.0
480291110003,sex_not_work_age_tot_m,105.0
480291110002,sex_not_work_age_tot_m,129.0
480291204001,sex_not_work_age_tot_m,182.0
480291204005,sex_not_work_age_tot_m,298.0
480291710004,sex_not_work_age_tot_m,421.0
480291204003,sex_not_work_age_tot_m,362.0
480291207021,sex_not_work_age_tot_m,444.0
480291704014,sex_not_work_age_tot_m,89.0
480291710001,sex_not_work_age_tot_m,129.0
480291710002,sex_not_work_age_tot_m,313.0
480291717001,sex_not_work_age_tot_m,475.0
480291717003,sex_not_work_age_tot_m,125.0
480291215013,sex_not_work_age_tot_m,503.0
480291215011,sex_not_work_age_tot_m,142.0
480291215074,sex_not_work_age_tot_m,169.0
480291215071,sex_not_work_age_tot_m,285.0
480291215072,sex_not_work_age_tot_m,276.0
480291312002,sex_not_work_age_tot_m,330.0
480291401002,sex_not_work_age_tot_m,90.0
480291401001,sex_not_work_age_tot_m,94.0
480291404004,sex_not_work_age_tot_m,91.0
480291101002,sex_not_work_age_tot_m,147.0
480291209022,sex_not_work_age_tot_m,307.0
480291209021,sex_not_work_age_tot_m,243.0
480291214033,sex_not_work_age_tot_m,285.0
480291214031,sex_not_work_age_tot_m,513.0
480291216042,sex_not_work_age_tot_m,258.0
480291216043,sex_not_work_age_tot_m,140.0
480291306004,sex_not_work_age_tot_m,314.0
480291207022,sex_not_work_age_tot_m,230.0
480291213003,sex_not_work_age_tot_m,77.0
480291213001,sex_not_work_age_tot_m,668.0
480291703004,sex_not_work_age_tot_m,146.0
480291703002,sex_not_work_age_tot_m,8.0
480291703006,sex_not_work_age_tot_m,275.0
480291703005,sex_not_work_age_tot_m,381.0
480291703003,sex_not_work_age_tot_m,395.0
480291704024,sex_not_work_age_tot_m,76.0
480291704021,sex_not_work_age_tot_m,528.0
480291706001,sex_not_work_age_tot_m,211.0
480291706004,sex_not_work_age_tot_m,131.0
480291706003,sex_not_work_age_tot_m,262.0
480291707003,sex_not_work_age_tot_m,299.0
480291707002,sex_not_work_age_tot_m,299.0
480291212044,sex_not_work_age_tot_m,296.0
480291212043,sex_not_work_age_tot_m,230.0
480291404001,sex_not_work_age_tot_m,130.0
480291404002,sex_not_work_age_tot_m,158.0
480291504003,sex_not_work_age_tot_m,422.0
480291215052,sex_not_work_age_tot_m,119.0
480291403002,sex_not_work_age_tot_m,246.0
480291403003,sex_not_work_age_tot_m,247.0
480291520001,sex_not_work_age_tot_m,626.0
480291701011,sex_not_work_age_tot_m,186.0
480291701012,sex_not_work_age_tot_m,297.0
480291718022,sex_not_work_age_tot_m,261.0
480291718025,sex_not_work_age_tot_m,194.0
480291718023,sex_not_work_age_tot_m,215.0
480291408004,sex_not_work_age_tot_m,160.0
480291408001,sex_not_work_age_tot_m,166.0
480291408005,sex_not_work_age_tot_m,195.0
480291408003,sex_not_work_age_tot_m,68.0
480291408002,sex_not_work_age_tot_m,204.0
480291505023,sex_not_work_age_tot_m,245.0
480291505022,sex_not_work_age_tot_m,163.0
480291505021,sex_not_work_age_tot_m,157.0
480291507006,sex_not_work_age_tot_m,60.0
480291507001,sex_not_work_age_tot_m,163.0
480291507003,sex_not_work_age_tot_m,365.0
480291601004,sex_not_work_age_tot_m,614.0
480291601003,sex_not_work_age_tot_m,295.0
480291601001,sex_not_work_age_tot_m,338.0
480291813023,sex_not_work_age_tot_m,277.0
480291809021,sex_not_work_age_tot_m,239.0
480291809023,sex_not_work_age_tot_m,241.0
480291809022,sex_not_work_age_tot_m,262.0
480291809025,sex_not_work_age_tot_m,293.0
480291810031,sex_not_work_age_tot_m,286.0
480291810051,sex_not_work_age_tot_m,272.0
480291810052,sex_not_work_age_tot_m,74.0
480291815061,sex_not_work_age_tot_m,121.0
480291815062,sex_not_work_age_tot_m,325.0
480291817151,sex_not_work_age_tot_m,206.0
480291203002,sex_not_work_age_tot_m,79.0
480291203003,sex_not_work_age_tot_m,227.0
480291203005,sex_not_work_age_tot_m,281.0
480291205013,sex_not_work_age_tot_m,313.0
480291205015,sex_not_work_age_tot_m,275.0
480291205012,sex_not_work_age_tot_m,204.0
480291205014,sex_not_work_age_tot_m,368.0
480291211152,sex_not_work_age_tot_m,454.0
480291211153,sex_not_work_age_tot_m,193.0
480291211172,sex_not_work_age_tot_m,157.0
480291211171,sex_not_work_age_tot_m,384.0
480291720021,sex_not_work_age_tot_m,1130.0
480291817031,sex_not_work_age_tot_m,459.0
480291817032,sex_not_work_age_tot_m,214.0
480291803003,sex_not_work_age_tot_m,381.0
480291803001,sex_not_work_age_tot_m,210.0
480291803002,sex_not_work_age_tot_m,280.0
480291817161,sex_not_work_age_tot_m,489.0
480291910034,sex_not_work_age_tot_m,171.0
480291910035,sex_not_work_age_tot_m,155.0
480291910033,sex_not_work_age_tot_m,249.0
480291910031,sex_not_work_age_tot_m,334.0
480291910032,sex_not_work_age_tot_m,488.0
480291214041,sex_not_work_age_tot_m,352.0
480291214042,sex_not_work_age_tot_m,373.0
480291214043,sex_not_work_age_tot_m,449.0
480291313001,sex_not_work_age_tot_m,403.0
480291313004,sex_not_work_age_tot_m,81.0
480291316061,sex_not_work_age_tot_m,743.0
480291103003,sex_not_work_age_tot_m,64.0
480291103002,sex_not_work_age_tot_m,213.0
480291201001,sex_not_work_age_tot_m,1172.0
480291206002,sex_not_work_age_tot_m,177.0
480291206003,sex_not_work_age_tot_m,84.0
480291206006,sex_not_work_age_tot_m,47.0
480291206005,sex_not_work_age_tot_m,206.0
480291517003,sex_not_work_age_tot_m,183.0
480291517002,sex_not_work_age_tot_m,215.0
480291517001,sex_not_work_age_tot_m,431.0
480291607013,sex_not_work_age_tot_m,221.0
480291306001,sex_not_work_age_tot_m,299.0
480291306003,sex_not_work_age_tot_m,140.0
480291306002,sex_not_work_age_tot_m,193.0
480291402003,sex_not_work_age_tot_m,230.0
480291402002,sex_not_work_age_tot_m,72.0
480291402001,sex_not_work_age_tot_m,94.0
480291402004,sex_not_work_age_tot_m,150.0
480291309001,sex_not_work_age_tot_m,397.0
480291717004,sex_not_work_age_tot_m,338.0
480291719035,sex_not_work_age_tot_m,264.0
480291717006,sex_not_work_age_tot_m,356.0
480291719032,sex_not_work_age_tot_m,262.0
480291719034,sex_not_work_age_tot_m,190.0
480291509002,sex_not_work_age_tot_m,77.0
480291509001,sex_not_work_age_tot_m,271.0
480291509005,sex_not_work_age_tot_m,465.0
480291705003,sex_not_work_age_tot_m,146.0
480291705004,sex_not_work_age_tot_m,287.0
480291705002,sex_not_work_age_tot_m,117.0
480291805042,sex_not_work_age_tot_m,594.0
480291205025,sex_not_work_age_tot_m,307.0
480291205023,sex_not_work_age_tot_m,67.0
480291205026,sex_not_work_age_tot_m,271.0
480291205024,sex_not_work_age_tot_m,196.0
480291207012,sex_not_work_age_tot_m,201.0
480291207011,sex_not_work_age_tot_m,122.0
480291302002,sex_not_work_age_tot_m,93.0
480291410003,sex_not_work_age_tot_m,360.0
480291410002,sex_not_work_age_tot_m,161.0
480291516001,sex_not_work_age_tot_m,281.0
480291516004,sex_not_work_age_tot_m,371.0
480291516002,sex_not_work_age_tot_m,157.0
480291817051,sex_not_work_age_tot_m,198.0
480291817052,sex_not_work_age_tot_m,308.0
480291512002,sex_not_work_age_tot_m,450.0
480291606001,sex_not_work_age_tot_m,158.0
480291606003,sex_not_work_age_tot_m,485.0
480291419003,sex_not_work_age_tot_m,179.0
480291419002,sex_not_work_age_tot_m,164.0
480291515003,sex_not_work_age_tot_m,251.0
480291515002,sex_not_work_age_tot_m,193.0
480291603003,sex_not_work_age_tot_m,133.0
480291603002,sex_not_work_age_tot_m,123.0
480291603005,sex_not_work_age_tot_m,278.0
480291612001,sex_not_work_age_tot_m,72.0
480291612002,sex_not_work_age_tot_m,548.0
480291804003,sex_not_work_age_tot_m,161.0
480291804001,sex_not_work_age_tot_m,394.0
480291807012,sex_not_work_age_tot_m,275.0
480291811004,sex_not_work_age_tot_m,236.0
480291811002,sex_not_work_age_tot_m,181.0
480291811003,sex_not_work_age_tot_m,572.0
480291909015,sex_not_work_age_tot_m,233.0
480291909013,sex_not_work_age_tot_m,64.0
480291809014,sex_not_work_age_tot_m,306.0
480291813031,sex_not_work_age_tot_m,365.0
480291815041,sex_not_work_age_tot_m,356.0
480291815042,sex_not_work_age_tot_m,187.0
480291816012,sex_not_work_age_tot_m,410.0
480291906011,sex_not_work_age_tot_m,268.0
480291818091,sex_not_work_age_tot_m,323.0
480291818092,sex_not_work_age_tot_m,409.0
480291818094,sex_not_work_age_tot_m,149.0
480291906013,sex_not_work_age_tot_m,145.0
480291910041,sex_not_work_age_tot_m,294.0
480291910043,sex_not_work_age_tot_m,182.0
480291813022,sex_not_work_age_tot_m,422.0
480291212063,sex_not_work_age_tot_m,147.0
480291212061,sex_not_work_age_tot_m,429.0
480291212065,sex_not_work_age_tot_m,513.0
480291212062,sex_not_work_age_tot_m,203.0
480291214022,sex_not_work_age_tot_m,208.0
480291214021,sex_not_work_age_tot_m,1130.0
480291218031,sex_not_work_age_tot_m,348.0
480291218032,sex_not_work_age_tot_m,144.0
480291218033,sex_not_work_age_tot_m,455.0
480291218041,sex_not_work_age_tot_m,440.0
480291218042,sex_not_work_age_tot_m,510.0
480291218043,sex_not_work_age_tot_m,406.0
480291308001,sex_not_work_age_tot_m,777.0
480291308004,sex_not_work_age_tot_m,330.0
480291308002,sex_not_work_age_tot_m,158.0
480291308003,sex_not_work_age_tot_m,61.0
480291311003,sex_not_work_age_tot_m,201.0
480291311002,sex_not_work_age_tot_m,185.0
480291602002,sex_not_work_age_tot_m,151.0
480291817134,sex_not_work_age_tot_m,292.0
480291817132,sex_not_work_age_tot_m,357.0
480291817133,sex_not_work_age_tot_m,330.0
480291815054,sex_not_work_age_tot_m,308.0
480291815053,sex_not_work_age_tot_m,201.0
480291815051,sex_not_work_age_tot_m,117.0
480291817042,sex_not_work_age_tot_m,293.0
480291817044,sex_not_work_age_tot_m,131.0
480291817111,sex_not_work_age_tot_m,634.0
480291907002,sex_not_work_age_tot_m,88.0
480291907003,sex_not_work_age_tot_m,279.0
480291607011,sex_not_work_age_tot_m,218.0
480291607012,sex_not_work_age_tot_m,241.0
480291718011,sex_not_work_age_tot_m,181.0
480291718013,sex_not_work_age_tot_m,309.0
480291718014,sex_not_work_age_tot_m,202.0
480291718012,sex_not_work_age_tot_m,384.0
480291802013,sex_not_work_age_tot_m,503.0
480291802012,sex_not_work_age_tot_m,149.0
480291802014,sex_not_work_age_tot_m,204.0
480291802011,sex_not_work_age_tot_m,123.0
480291812001,sex_not_work_age_tot_m,131.0
480291812004,sex_not_work_age_tot_m,266.0
480291812002,sex_not_work_age_tot_m,204.0
480291812005,sex_not_work_age_tot_m,238.0
480291514004,sex_not_work_age_tot_m,221.0
480291511003,sex_not_work_age_tot_m,214.0
480291511001,sex_not_work_age_tot_m,150.0
480291514001,sex_not_work_age_tot_m,118.0
480291514002,sex_not_work_age_tot_m,391.0
480291905012,sex_not_work_age_tot_m,240.0
480291905013,sex_not_work_age_tot_m,241.0
480291905011,sex_not_work_age_tot_m,272.0
480291908001,sex_not_work_age_tot_m,133.0
480291908002,sex_not_work_age_tot_m,244.0
480291909011,sex_not_work_age_tot_m,214.0
480291909012,sex_not_work_age_tot_m,322.0
480291909021,sex_not_work_age_tot_m,301.0
480291909023,sex_not_work_age_tot_m,88.0
480291810012,sex_not_work_age_tot_m,286.0
480291810042,sex_not_work_age_tot_m,453.0
480291810041,sex_not_work_age_tot_m,212.0
480291901004,sex_not_work_age_tot_m,139.0
480291901003,sex_not_work_age_tot_m,222.0
480291901002,sex_not_work_age_tot_m,160.0
480291719021,sex_not_work_age_tot_m,344.0
480291311001,sex_not_work_age_tot_m,127.0
480291203008,sex_not_work_age_tot_m,143.0
480291203007,sex_not_work_age_tot_m,217.0
480291501001,sex_not_work_age_tot_m,150.0
480291501004,sex_not_work_age_tot_m,222.0
480291506004,sex_not_work_age_tot_m,368.0
480291506003,sex_not_work_age_tot_m,137.0
480291511007,sex_not_work_age_tot_m,563.0
480291511005,sex_not_work_age_tot_m,346.0
480291511004,sex_not_work_age_tot_m,143.0
480291918042,sex_not_work_age_tot_m,521.0
480291918041,sex_not_work_age_tot_m,474.0
480291210004,sex_not_work_age_tot_m,129.0
480291210003,sex_not_work_age_tot_m,436.0
480291210005,sex_not_work_age_tot_m,391.0
480291210006,sex_not_work_age_tot_m,186.0
480291211102,sex_not_work_age_tot_m,187.0
480291215062,sex_not_work_age_tot_m,191.0
480291215061,sex_not_work_age_tot_m,263.0
480291305001,sex_not_work_age_tot_m,175.0
480291305003,sex_not_work_age_tot_m,348.0
480291305002,sex_not_work_age_tot_m,196.0
480291305004,sex_not_work_age_tot_m,284.0
480291904003,sex_not_work_age_tot_m,131.0
480291211081,sex_not_work_age_tot_m,241.0
480291211083,sex_not_work_age_tot_m,234.0
480291211084,sex_not_work_age_tot_m,218.0
480291207015,sex_not_work_age_tot_m,176.0
480291215042,sex_not_work_age_tot_m,197.0
480291215041,sex_not_work_age_tot_m,271.0
480291503001,sex_not_work_age_tot_m,244.0
480291503004,sex_not_work_age_tot_m,368.0
480291503003,sex_not_work_age_tot_m,134.0
480291602003,sex_not_work_age_tot_m,193.0
480291508002,sex_not_work_age_tot_m,75.0
480291508003,sex_not_work_age_tot_m,446.0
480291712003,sex_not_work_age_tot_m,176.0
480291418001,sex_not_work_age_tot_m,311.0
480291418002,sex_not_work_age_tot_m,100.0
480291512005,sex_not_work_age_tot_m,795.0
480291512003,sex_not_work_age_tot_m,351.0
480291512001,sex_not_work_age_tot_m,244.0
480291107001,sex_not_work_age_tot_m,323.0
480291904001,sex_not_work_age_tot_m,91.0
480291719121,sex_not_work_age_tot_m,701.0
480291817122,sex_not_work_age_tot_m,317.0
480291816023,sex_not_work_age_tot_m,347.0
480291816021,sex_not_work_age_tot_m,124.0
480291818081,sex_not_work_age_tot_m,305.0
480291821021,sex_not_work_age_tot_m,509.0
480291911011,sex_not_work_age_tot_m,179.0
480291911012,sex_not_work_age_tot_m,220.0
480291219082,sex_not_work_age_tot_m,333.0
480291219091,sex_not_work_age_tot_m,455.0
480291219092,sex_not_work_age_tot_m,772.0
480291219101,sex_not_work_age_tot_m,1425.0
480291219102,sex_not_work_age_tot_m,175.0
480291304011,sex_not_work_age_tot_m,202.0
480291304012,sex_not_work_age_tot_m,74.0
480291304013,sex_not_work_age_tot_m,290.0
480291304014,sex_not_work_age_tot_m,164.0
480291304021,sex_not_work_age_tot_m,262.0
480291304022,sex_not_work_age_tot_m,486.0
480291304023,sex_not_work_age_tot_m,246.0
480291314011,sex_not_work_age_tot_m,1454.0
480291314012,sex_not_work_age_tot_m,663.0
480291314021,sex_not_work_age_tot_m,93.0
480291719182,sex_not_work_age_tot_m,169.0
480291719184,sex_not_work_age_tot_m,194.0
480291719191,sex_not_work_age_tot_m,1191.0
480291719202,sex_not_work_age_tot_m,828.0
480291719211,sex_not_work_age_tot_m,536.0
480291719213,sex_not_work_age_tot_m,179.0
480291719221,sex_not_work_age_tot_m,645.0
480291719232,sex_not_work_age_tot_m,254.0
480291719233,sex_not_work_age_tot_m,218.0
480291719241,sex_not_work_age_tot_m,851.0
480291720022,sex_not_work_age_tot_m,1536.0
480291719242,sex_not_work_age_tot_m,283.0
480291719252,sex_not_work_age_tot_m,171.0
480291719254,sex_not_work_age_tot_m,672.0
480291720031,sex_not_work_age_tot_m,641.0
480291720032,sex_not_work_age_tot_m,621.0
480291720051,sex_not_work_age_tot_m,826.0
480291720052,sex_not_work_age_tot_m,1459.0
480291720062,sex_not_work_age_tot_m,461.0
480291720063,sex_not_work_age_tot_m,373.0
480291720072,sex_not_work_age_tot_m,589.0
480291720073,sex_not_work_age_tot_m,1087.0
480291801012,sex_not_work_age_tot_m,294.0
480291315031,sex_not_work_age_tot_m,224.0
480291315032,sex_not_work_age_tot_m,116.0
480291315041,sex_not_work_age_tot_m,291.0
480291315042,sex_not_work_age_tot_m,250.0
480291315051,sex_not_work_age_tot_m,640.0
480291315052,sex_not_work_age_tot_m,474.0
480291315062,sex_not_work_age_tot_m,445.0
480291316081,sex_not_work_age_tot_m,586.0
480291315071,sex_not_work_age_tot_m,744.0
480291315073,sex_not_work_age_tot_m,521.0
480291316012,sex_not_work_age_tot_m,567.0
480291316082,sex_not_work_age_tot_m,608.0
480291316092,sex_not_work_age_tot_m,247.0
480291316093,sex_not_work_age_tot_m,373.0
480291316102,sex_not_work_age_tot_m,468.0
480291316111,sex_not_work_age_tot_m,203.0
480291316131,sex_not_work_age_tot_m,310.0
480291316132,sex_not_work_age_tot_m,505.0
480291316142,sex_not_work_age_tot_m,66.0
480291316151,sex_not_work_age_tot_m,239.0
480291316153,sex_not_work_age_tot_m,109.0
480291316154,sex_not_work_age_tot_m,217.0
480291318012,sex_not_work_age_tot_m,140.0
480291318021,sex_not_work_age_tot_m,352.0
480291318023,sex_not_work_age_tot_m,304.0
480291411011,sex_not_work_age_tot_m,234.0
480291411013,sex_not_work_age_tot_m,310.0
480291411021,sex_not_work_age_tot_m,287.0
480291411023,sex_not_work_age_tot_m,269.0
480291414022,sex_not_work_age_tot_m,347.0
480291414032,sex_not_work_age_tot_m,493.0
480291414041,sex_not_work_age_tot_m,430.0
480291414043,sex_not_work_age_tot_m,109.0
480291416002,sex_not_work_age_tot_m,435.0
480291513011,sex_not_work_age_tot_m,117.0
480291513012,sex_not_work_age_tot_m,230.0
480291513013,sex_not_work_age_tot_m,275.0
480291513014,sex_not_work_age_tot_m,288.0
480291513021,sex_not_work_age_tot_m,335.0
480291513022,sex_not_work_age_tot_m,411.0
480291521003,sex_not_work_age_tot_m,136.0
480291521004,sex_not_work_age_tot_m,319.0
480291522011,sex_not_work_age_tot_m,770.0
480291522012,sex_not_work_age_tot_m,595.0
480291522013,sex_not_work_age_tot_m,308.0
480291522021,sex_not_work_age_tot_m,729.0
480291605011,sex_not_work_age_tot_m,656.0
480291605012,sex_not_work_age_tot_m,236.0
480291605021,sex_not_work_age_tot_m,178.0
480291609013,sex_not_work_age_tot_m,273.0
480291605022,sex_not_work_age_tot_m,289.0
480291605024,sex_not_work_age_tot_m,434.0
480291609011,sex_not_work_age_tot_m,132.0
480291609021,sex_not_work_age_tot_m,381.0
